question,output,correct_answer
At which geographical feature is the city of Pittsburgh located?,The city is located in southwestern Pennsylvania at the confluence of the Allegheny and Monongahela rivers,Pittsburgh is located at the confluence of the Allegheny and Monongahela rivers.
What three rivers meet in Pittsburgh?,10 Things to Do on Pittsburgh’s Three Rivers,"The Allegheny, Monongahela, and Ohio rivers (the Ohio is formed by the confluence of the first two)."
What nickname was Pittsburgh given due to its industrial history?,"Pittsburgh is known as ""the Steel City""","""The Steel City"" for its dominant role in the U.S. steel industry."
In what year was Pittsburgh incorporated as a borough?,"1794, with the following Act:[19]","Pittsburgh was incorporated as a borough on April 22, 1794."
Who was the city of Pittsburgh named after?,"William Pitt, 1st Earl of Chatham","Pittsburgh was named after British statesman William Pitt, 1st Earl of Chatham."
What Scottish General named the city in 1758?,"William Pitt, 1st Earl of Chatham",Scottish General John Forbes named the city in 1758.
What was built in 1761 to ensure British dominance at the source of the Ohio River?,The nearby Native American community of Logstown,Fort Pitt was built in 1761.
What year did the Great Fire of Pittsburgh occur?,"1845-April-10,1845,",The Great Fire of Pittsburgh occurred in 1845.
Which industrialist began steel production in 1875 at the Edgar Thomson Steel Works?,Andrew Carnegie began steel production in 1875 at the Edgar Thomson Steel Works in Braddock,Andrew Carnegie began steel production in 1875.
What company was formed in 1901 when J.P. Morgan merged Carnegie Steel Company with several other companies?,"U.S. Steel Corporation formed, he sold his mills",U.S. Steel was formed in 1901.
What was Pittsburgh's rank among US cities by population in 1910?,26th-largest in the U.S.,Pittsburgh was the nation's eighth-largest city in 1910.
What civic project was launched after World War II to clean up the city's air and rivers?,"the ""Renaissance""","The ""Renaissance"" project was launched after World War II."
What is the name of the business district in downtown Pittsburgh?,"Bank Tower307 Fourth Avenue – Floor 2Pittsburgh, PA 15222",The Golden Triangle is the name of Pittsburgh's business district.
"How many bridges does Pittsburgh have, earning it the nickname ""City of Bridges""?","446,[281] it has three bridges more than Venice, Italy",Pittsburgh has 446 bridges.
What is the tallest building in Pittsburgh?,U.S. Steel Tower is the tallest building in Pittsburgh.,The U.S. Steel Tower is the tallest building at 841 ft (256 m).
What was the population of Pittsburgh according to the 2020 census?,68th-most populous city in the U.S,"The population of Pittsburgh was 302,971 according to the 2020 census."
Which university in Pittsburgh was chartered in 1787?,The University of Pittsburgh was chartered in 1787.,The University of Pittsburgh was chartered in 1787.
What type of climate does Pittsburgh have according to the Köppen climate classification?,hot-summer humid continental climate (Dfa),Pittsburgh falls within either a hot-summer humid continental climate (Dfa) or a humid subtropical climate (Cfa).
What is the warmest month in Pittsburgh with an average temperature of 73.2°F?,"January, with a 24-hour average of 73.2 °F",July is the warmest month in Pittsburgh.
What year did the G20 Summit take place in Pittsburgh?,"2009 G20 Pittsburgh summit, which took place in 2009",The G20 Summit took place in Pittsburgh in September 2009.
What transformation in Pittsburgh's economy occurred after the decline of the steel industry?,Deindustrialization in the late 20th century resulted in massive layoffs,"Pittsburgh's economy transformed from steel and manufacturing to high technology, robotics, health care, nuclear engineering, tourism, biomedical technology, finance, and education."
