question,output,correct_answer
At which geographical feature is the city of Pittsburgh located?,confluence of the allegheny and monongahela rivers,Pittsburgh is located at the confluence of the Allegheny and Monongahela rivers.
What three rivers meet in Pittsburgh?,,"The Allegheny, Monongahela, and Ohio rivers (the Ohio is formed by the confluence of the first two)."
What nickname was Pittsburgh given due to its industrial history?,the steel city,"""The Steel City"" for its dominant role in the U.S. steel industry."
In what year was Pittsburgh incorporated as a borough?,1794,"Pittsburgh was incorporated as a borough on April 22, 1794."
Who was the city of Pittsburgh named after?,,"Pittsburgh was named after British statesman William Pitt, 1st Earl of Chatham."
What Scottish General named the city in 1758?,john forbes,Scottish General John Forbes named the city in 1758.
What was built in 1761 to ensure British dominance at the source of the Ohio River?,,Fort Pitt was built in 1761.
What year did the Great Fire of Pittsburgh occur?,1845,The Great Fire of Pittsburgh occurred in 1845.
Which industrialist began steel production in 1875 at the Edgar Thomson Steel Works?,andrew carnegie,Andrew Carnegie began steel production in 1875.
What company was formed in 1901 when J.P. Morgan merged Carnegie Steel Company with several other companies?,u. s. steel,U.S. Steel was formed in 1901.
What was Pittsburgh's rank among US cities by population in 1910?,,Pittsburgh was the nation's eighth-largest city in 1910.
What civic project was launched after World War II to clean up the city's air and rivers?,"the "" renaissance","The ""Renaissance"" project was launched after World War II."
What is the name of the business district in downtown Pittsburgh?,k & l gates center,The Golden Triangle is the name of Pittsburgh's business district.
"How many bridges does Pittsburgh have, earning it the nickname ""City of Bridges""?",446,Pittsburgh has 446 bridges.
What is the tallest building in Pittsburgh?,u. s. steel tower,The U.S. Steel Tower is the tallest building at 841 ft (256 m).
What was the population of Pittsburgh according to the 2020 census?,"302, 971","The population of Pittsburgh was 302,971 according to the 2020 census."
Which university in Pittsburgh was chartered in 1787?,the university of pittsburgh,The University of Pittsburgh was chartered in 1787.
What type of climate does Pittsburgh have according to the Köppen climate classification?,hot - summer humid continental,Pittsburgh falls within either a hot-summer humid continental climate (Dfa) or a humid subtropical climate (Cfa).
What is the warmest month in Pittsburgh with an average temperature of 73.2°F?,july,July is the warmest month in Pittsburgh.
What year did the G20 Summit take place in Pittsburgh?,2009,The G20 Summit took place in Pittsburgh in September 2009.
What transformation in Pittsburgh's economy occurred after the decline of the steel industry?,"deindustrialization of the u. s. [ 84 ] following the 1981 – 1982 recession, for example, the mills laid off 153, 000 workers. [ 82 ] the steel mills began to shut down. these closures caused a ripple effect, as railroads, mines, and other factories across the region lost business and closed. [ 85 ] [ 86 ] the local economy suffered a depression","Pittsburgh's economy transformed from steel and manufacturing to high technology, robotics, health care, nuclear engineering, tourism, biomedical technology, finance, and education."
Which museum in Pittsburgh is dedicated to the works of a Pittsburgh-born artist and filmmaker?,,The Andy Warhol Museum is dedicated to the Pittsburgh-born artist and filmmaker.
What historical site is located in Point State Park that was built by the British?,fort pitt museum,Fort Pitt Blockhouse is located in Point State Park.
Which professional sports teams are based in Pittsburgh?,,"The Pittsburgh Steelers (football), Pittsburgh Pirates (baseball), and Pittsburgh Penguins (ice hockey)."
What cultural district spans 14 blocks along the Allegheny River?,,The Cultural District spans 14 blocks along the Allegheny River.
What was the original name of the North Side before it was annexed in 1907?,allegheny city,The North Side was originally known as Allegheny City before being annexed in 1907.
Which neighborhood in Pittsburgh is known as the hub of Jewish life?,squirrel hill,Squirrel Hill is known as the hub of Jewish life in Pittsburgh.
What famous children's television show was created in Pittsburgh?,the children ' s corner,Mister Rogers' Neighborhood was created in Pittsburgh.
What percentage of Pittsburgh's population was African American according to the 2020 census?,23. 0 %,"According to the 2020 census, 23.0% of Pittsburgh's population was Black or African American."
What event in 1936 severely affected Pittsburgh?,flood,Pittsburgh suffered severe flooding in March 1936.
How large is Pittsburgh in square miles?,58. 3 square miles,Pittsburgh has an area of 58.3 square miles (151 km²).
What famous conservatory and botanical garden was established in Pittsburgh in 1893?,"pittsburgh botanic garden 799 pinkerton run road, oakdale pittsburgh botanic garden",Phipps Conservatory and Botanical Gardens was established in 1893.
What is the name of Pittsburgh's light rail system?,t,The Port Authority's light rail system serves Pittsburgh.
Which major health system is the largest employer in Pittsburgh?,west penn allegheny health system,"The University of Pittsburgh Medical Center (UPMC) is the largest employer with 48,000 employees."
Who was the first known European explorer to enter the region in 1669?,robert de la salle,French explorer Robert de La Salle was the first known European to enter the region in 1669.
What significant role did Pittsburgh play during the American Civil War?,,The American Civil War boosted Pittsburgh's economy with increased iron and armament demand by the Union.
What is the nickname for Pittsburgh residents that refers to their distinctive dialect?,yinzers,"""Yinzer"" refers to Pittsburgh residents with a distinctive dialect."
Which early historical conflict centered on Pittsburgh between European powers?,war of 1812,The French and Indian War (part of the Seven Years' War) centered on Pittsburgh between the British and French.
What is the David L. Lawrence Convention Center known for hosting annually since 2006?,,"The David L. Lawrence Convention Center hosts Anthrocon, the world's largest furry convention, annually since 2006."
What university is home to the Heinz Chapel Choir?,carlow university,The University of Pittsburgh is home to the Heinz Chapel Choir.
What was the focus of the Pittsburgh Agreement signed in May 1918?,the future foundation of czechoslovakia. [ 42 ] the city suffered severe flooding,The Pittsburgh Agreement focused on the future foundation of Czechoslovakia.
What environmental issue has Pittsburgh struggled with regarding its rivers and sewer system?,,Pittsburgh has struggled with combined sewer overflows causing untreated sewage to flow into rivers when it rains.
What percentage of Pittsburgh's population identified as Christian according to a 2014 Pew Research Center study?,78 %,"According to a 2014 Pew Research Center study, 78% of Pittsburgh's population identified as Christian."
What is the name of the neighborhood that was transformed from an industrial area into the SouthSide Works mixed-use development?,east liberty,The South Side Works was transformed from a steel mill property into a mixed-use development.
What urban feature of Pittsburgh consists of 800 sets of outdoor public stairways?,the steps,The steps of Pittsburgh consist of 800 sets of outdoor public stairways.
What major change occurred to Pittsburgh's spelling between 1891 and 1911?,,"From 1891 to 1911, the city's name was federally recognized as ""Pittsburg"" without the ""h""."
Which Native American groups were early inhabitants of the Pittsburgh region?,,Algonquian- and Iroquoian-speaking peoples were early inhabitants of the region.
What was James Parton's 1868 observation about Pittsburgh?,,"James Parton's 1868 observation described Pittsburgh as ""hell with the lid off."""
What renowned zombie film genre began in Pittsburgh with George A. Romero's 1968 film?,night of the living dead,The modern zombie film genre began with George A. Romero's 1968 film Night of the Living Dead.
Which Pittsburgh neighborhood is known as the city's Little Italy?,bloomfield,Bloomfield is known as Pittsburgh's Little Italy.
What YouTube series has showcased the Pittsburghese genre to a global audience since 2011?,,The Pittsburgh Dad series has showcased the Pittsburghese genre to a global YouTube audience since 2011.
"Who was the director that popularized the modern fantasy, macabre and science fiction genre in Pittsburgh?",george a. romero,"George A. Romero was the director who popularized the modern fantasy, macabre and science fiction genre in Pittsburgh."
What is the name of the annual pickle-themed festival in Pittsburgh?,,Picklesburgh is the name of the annual pickle-themed festival in Pittsburgh.
What food specialties is Pittsburgh known for?,"pierogies, kielbasa, chipped chopped ham sandwiches, and klondike bars","Pittsburgh is known for pierogies, kielbasa, chipped chopped ham sandwiches, and Klondike bars."
What is the linguistic term for people who speak the Pittsburgh English dialect?,pittsburghese,"People who speak the Pittsburgh English dialect are sometimes referred to as ""Yinzers."""
"What word do Pittsburgh locals use instead of ""you all"" or ""y'all""?",yinzers,"Pittsburgh locals use ""yinz"" or ""yunz"" instead of ""you all"" or ""y'all."""
How many acres does Frick Park provide for woodland activities?,664,Frick Park provides 664 acres of woodland for activities.
How many species of birds have been recorded in the Clayton Hill area of Frick Park?,over 100,Over 100 species of birds have been recorded in the Clayton Hill area of Frick Park.
What major environmental challenge affects Pittsburgh during heavy rainfall?,overflowing untreated sewage,"Pittsburgh struggles with combined sewer overflows during heavy rainfall, causing untreated sewage to flow into rivers."
What was Pittsburgh named in a 2009 Sporting News title?,,"Pittsburgh was named the ""Best Sports City"" in the United States by Sporting News in 2009."
What unique practice do Pittsburgh's professional sports teams share that doesn't occur in other U.S. cities?,,"Pittsburgh's professional sports teams all share the same team colors (black and gold), a practice that doesn't occur in other U.S. cities."
What are the official city colors of Pittsburgh?,black and gold,The official city colors of Pittsburgh are black and gold.
"What is the ""Terrible Towel"" associated with?",black and gold,"The ""Terrible Towel"" is associated with Pittsburgh's football culture and the Steelers."
What was Pittsburgh's baseball team originally referred to as?,bucs or the buccos,Pittsburgh's baseball team was originally referred to as the Buccos or Bucs (derived from buccaneer).
How many World Series championships have the Pittsburgh Pirates won?,five,The Pittsburgh Pirates have won five World Series championships.
What historic achievement did the Pirates accomplish in 1971 regarding team diversity?,field an all - minority lineup,"In 1971, the Pirates became the first Major League team to field an all-minority lineup."
