question,output
At which geographical feature is the city of Pittsburgh located?,confluence of the allegheny and monongahela rivers
What three rivers meet in Pittsburgh?,
What nickname was Pittsburgh given due to its industrial history?,the steel city
In what year was Pittsburgh incorporated as a borough?,1794
Who was the city of Pittsburgh named after?,
What Scottish General named the city in 1758?,john forbes
What was built in 1761 to ensure British dominance at the source of the Ohio River?,
What year did the Great Fire of Pittsburgh occur?,1845
Which industrialist began steel production in 1875 at the Edgar Thomson Steel Works?,andrew carnegie
What company was formed in 1901 when J.P. Morgan merged Carnegie Steel Company with several other companies?,u. s. steel
What was Pittsburgh's rank among US cities by population in 1910?,
What civic project was launched after World War II to clean up the city's air and rivers?,"the "" renaissance"
What is the name of the business district in downtown Pittsburgh?,k & l gates center
"How many bridges does Pittsburgh have, earning it the nickname ""City of Bridges""?",446
What is the tallest building in Pittsburgh?,u. s. steel tower
What was the population of Pittsburgh according to the 2020 census?,"302, 971"
Which university in Pittsburgh was chartered in 1787?,the university of pittsburgh
What type of climate does Pittsburgh have according to the Köppen climate classification?,hot - summer humid continental
What is the warmest month in Pittsburgh with an average temperature of 73.2°F?,july
What year did the G20 Summit take place in Pittsburgh?,2009
What transformation in Pittsburgh's economy occurred after the decline of the steel industry?,"deindustrialization of the u. s. [ 84 ] following the 1981 – 1982 recession, for example, the mills laid off 153, 000 workers. [ 82 ] the steel mills began to shut down. these closures caused a ripple effect, as railroads, mines, and other factories across the region lost business and closed. [ 85 ] [ 86 ] the local economy suffered a depression"
Which museum in Pittsburgh is dedicated to the works of a Pittsburgh-born artist and filmmaker?,
What historical site is located in Point State Park that was built by the British?,fort pitt museum
Which professional sports teams are based in Pittsburgh?,
What cultural district spans 14 blocks along the Allegheny River?,
What was the original name of the North Side before it was annexed in 1907?,allegheny city
Which neighborhood in Pittsburgh is known as the hub of Jewish life?,squirrel hill
What famous children's television show was created in Pittsburgh?,the children ' s corner
What percentage of Pittsburgh's population was African American according to the 2020 census?,23. 0 %
What event in 1936 severely affected Pittsburgh?,flood
How large is Pittsburgh in square miles?,58. 3 square miles
What famous conservatory and botanical garden was established in Pittsburgh in 1893?,"pittsburgh botanic garden 799 pinkerton run road, oakdale pittsburgh botanic garden"
What is the name of Pittsburgh's light rail system?,t
Which major health system is the largest employer in Pittsburgh?,west penn allegheny health system
Who was the first known European explorer to enter the region in 1669?,robert de la salle
What significant role did Pittsburgh play during the American Civil War?,
What is the nickname for Pittsburgh residents that refers to their distinctive dialect?,yinzers
Which early historical conflict centered on Pittsburgh between European powers?,war of 1812
What is the David L. Lawrence Convention Center known for hosting annually since 2006?,
What university is home to the Heinz Chapel Choir?,carlow university
What was the focus of the Pittsburgh Agreement signed in May 1918?,the future foundation of czechoslovakia. [ 42 ] the city suffered severe flooding
What environmental issue has Pittsburgh struggled with regarding its rivers and sewer system?,
What percentage of Pittsburgh's population identified as Christian according to a 2014 Pew Research Center study?,78 %
What is the name of the neighborhood that was transformed from an industrial area into the SouthSide Works mixed-use development?,east liberty
What urban feature of Pittsburgh consists of 800 sets of outdoor public stairways?,the steps
What major change occurred to Pittsburgh's spelling between 1891 and 1911?,
Which Native American groups were early inhabitants of the Pittsburgh region?,
What was James Parton's 1868 observation about Pittsburgh?,
What renowned zombie film genre began in Pittsburgh with George A. Romero's 1968 film?,night of the living dead
Which Pittsburgh neighborhood is known as the city's Little Italy?,bloomfield
What YouTube series has showcased the Pittsburghese genre to a global audience since 2011?,
"Who was the director that popularized the modern fantasy, macabre and science fiction genre in Pittsburgh?",george a. romero
What is the name of the annual pickle-themed festival in Pittsburgh?,
What food specialties is Pittsburgh known for?,"pierogies, kielbasa, chipped chopped ham sandwiches, and klondike bars"
What is the linguistic term for people who speak the Pittsburgh English dialect?,pittsburghese
"What word do Pittsburgh locals use instead of ""you all"" or ""y'all""?",yinzers
How many acres does Frick Park provide for woodland activities?,664
How many species of birds have been recorded in the Clayton Hill area of Frick Park?,over 100
What major environmental challenge affects Pittsburgh during heavy rainfall?,overflowing untreated sewage
What was Pittsburgh named in a 2009 Sporting News title?,
What unique practice do Pittsburgh's professional sports teams share that doesn't occur in other U.S. cities?,
What are the official city colors of Pittsburgh?,black and gold
"What is the ""Terrible Towel"" associated with?",black and gold
What was Pittsburgh's baseball team originally referred to as?,bucs or the buccos
How many World Series championships have the Pittsburgh Pirates won?,five
What historic achievement did the Pirates accomplish in 1971 regarding team diversity?,field an all - minority lineup
How many consecutive losing seasons did the Pittsburgh Pirates set as an MLB record?,20
Who has owned the Pittsburgh Steelers since the team's founding in 1933?,rooney family
How many Super Bowls have the Pittsburgh Steelers won?,six
What was the original name of the arena where the Penguins played before PPG Paints Arena?,consol energy center
How many Stanley Cup championships have the Pittsburgh Penguins won?,5
Which famous hockey player later became an owner of the Pittsburgh Penguins?,mario lemieux
Which Pittsburgh basketball team won the first American Basketball Association championship in 1968?,pittsburgh pipers
What is the oldest U.S. golf course in continuous use located near Pittsburgh?,foxburg country club
Which suburban golf course has hosted the U.S. Open nine times?,oakmont country club
What major wrestling promotion has been based in Pittsburgh since 2000?,keystone state wrestling alliance
"Who became the mayor of Pittsburgh at age 26, making him the youngest mayor of any major American city?",luke ravenstahl
Who was elected as Pittsburgh's first African-American mayor in 2021?,ed gainey
What political party has dominated Pittsburgh's mayoral elections since 1933?,democrats
What rank did Pittsburgh achieve in 2013 for being one of America's safest big cities?,3rd
What is the largest law enforcement agency in Pittsburgh?,pittsburgh bureau of police
What educational institution is considered the most well-known in Pittsburgh?,carnegie mellon university
How many Fortune 500 companies call the Pittsburgh area home?,ten
What percentage of Pittsburgh's population identified as Christians according to a 2014 Pew Research Center study?,78 %
What is the Jewish population of Greater Pittsburgh according to a 2017 study?,"49, 200"
